String name, String context, X20(...) / XE(S) / V20, X18RS / X14(...) / T14 / V15, All other radios
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,,"Fonksiyon switchleri güvenli konumda değiller"
FAILSAFE_IS_NOT_SET,,"Failsafe ayarlı değil"
RTC_BATTERY_IS_LOW,,"RTC bataryası düşük"
ALWAYS_ON,,"Her zaman açık"
YES,,"Evet"
DIGITAL_RSSI,,"Dijital RSSI"
GYRO,,"Gyro"
GYRO_SWITCHES,,"Gyro switchleri"
LANGUAGE,,"Dil"
SWITCHES,,"Switchler"
TOP_TOOLBAR,,"Üst araç çubuğu"
NO,,"Hayır"
BRIGHTNESS,,"Parlaklık"
KEYS,,"Tuşlar"
WAKE_UP,,"Uyan"
DIGITAL_VOLTAGE,,"Dijital voltaj"
SLEEP,,"Uyku"
SYSTEM_ALERTS,,"Sistem uyarıları"
INACTIVITY,,"Hareketsizlik"
AUTO_ADJUST_FROM_GPS,,"GPS’ten otomatik ayar"
DATE,,"Tarih"
ADJUST_RTC_SPEED,,"RTC hızını ayarla"
SHOW_SECONDS,,"Saniyeleri göster"
IS24HOUR,,"24 saat"
TIME_ZONE,,"Saat dilimi"
YEAR,,"Yıl"
MONTH,,"Ay"
TIME,,"Saat"
NEXT,,"İleri"
GYRO_CALIBRATION,,"Gyro kalibrasyonu"
PREV,,"Geri"
MDL_LONG,,"MDL uzun"
HARDWARE_CHECK,,"Donanım kontrolü"
SWITCHES_SETTINGS,,"Switch ayarları"
ADC_INSPECTOR,,"ADC denetleyici"
SYS_LONG,,"SYS uzun"
HOME_KEYMAP,,"Ana ekran tuş haritası"
POTS_SLIDERS_SETTINGS,,"Pot/Kaydırıcı ayarları"
SWITCH_MIDDLE_DETECT_DELAY,,"Switch orta pozisyon algılama gecikmesi"
DISP_SHORT,,"{DISP_LABEL} kısa"
DISP_LONG,,"{DISP_LABEL} uzun"
SWITCH,,"Switch"
THROTTLE_DEAD_BAND,,"Throttle dead band"
ANALOGS_FILTER,,"Analog filtre"
ANALOGS_CALIBRATION,,"Analog kalibrasyon"
CONFIRM_CONTINUE,,"Devam etmek istediğinizden emin misiniz?"
THR_NOT_LOW_WARNING,,"Gaz düşük pozisyonda değil!"
CHANNELS_ORDER,,"Kanal sırası"
STICKS_MODE,,"Stick modu"
STICKS_MODE_1,,"Stick modu 1"
STICKS_MODE_2,,"Stick modu 2"
STICKS_MODE_3,,"Stick modu 3"
STICKS_MODE_4,,"Stick modu 4"
FIRST_FOUR_CHANNELS_FIXED,,"İlk dört kanal sabit"
NO_SD_CARD,,"SD Kart yok"
FLASH_BOOTLOADER,,"Bootloader’i flaşla"
FLASH_INTERNAL_MODULE,,"Dahili RF modülünü flaşla"
PLAY,,"Oynat"
CURRENT_VERSION,,"Mevcut sürüm"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,,"RX’i dahili modül üzerinden OTA flaşla"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,,"RX’i harici modül üzerinden OTA flaşla"
OTA_UPDATE,,"OTA güncellemesi"
FLASH_EXTERNAL_DEVICE,,"Harici cihazı flaşla"
OPEN,,"Aç"
FLASH_EXTERNAL_MODULE,,"Harici modülü flaşla"
