Clef, Contexte, X20(...) / XE(S) / V20, X14(...) / T14 / V15, Autres radios,
PERCENT,,"Pourcentage",
DESTINATION,,"Destination",
APPLICATION_ID,,"ID Application",
PHYSICAL_ID,,"ID Physique",
FIRMWARE_VERSION,,"Version firmware",
VIDEO_HARDWARE_VERSION,,"Version matériel vidéo",
AIR_SPEED,,"Vitesse",
FLOW_RESET,,"Réinitialiser débit","Réinit. débit",
CDI_OFF_SPEED_LIMIT,,"CDI hors vitesse limite",
GAS_SUITE,,"Gas Suite",
GASSUIT_TEMP1,,"GS Temp 1",
GASSUIT_TEMP2,,"GS Temp 2",
GASSUIT_SPEED,,"GS RPM",
GASSUIT_RES_VOL,,"GS Vol. Res.",
GASSUIT_RES_PERC,,"GS Res. %",
GASSUIT_FLOW,,"GS débit",
GASSUIT_MAX_FLOW,,"GS débit max",
GASSUIT_AVG_FLOW,,"GS débit moyen",
FLOW_PULSE,,"Impulsion débit",
AUTO_RESET,,"Réinit. auto",
RESET_RESIDUAL_VOLUME,,"Réinit. volume restant",
RESET_MAX_FLOW,,"Réinit. débit max",
RESET_AVERAGE_FLOW,,"Réinit. débit moyen",
VOLUME_ALARM,,"Alarme volume",
MAX_FLOW_ALARM,,"Alarme débit max",
FUEL,,"Jauge",
FLOW_TRIGGER,,"Déclenchement débit",
FACTORY_SETTING,,"Paramètres usine",
GPS,,"GPS",
GPS_ALT,,"Alt GPS",
GPS_SPEED,,"Vitesse GPS",
GPS_COURSE,,"Course GPS",
GPS_POSITION_DATA_RATE,,"Fréq. position GPS",
GPS_ALTITUDE_DATA_RATE,,"Fréq. altitude GPS",
GPS_SPEED_DATA_RATE,,"Fréq. vitesse GPS",
GPS_COURSE_DATA_RATE,,"Fréq. route GPS",
GPS_TIME_DATA_RATE,,"Fréq. heure GPS",
LATITUDE,,"Latitude",
LONGITUDE,,"Longitude",
GPS_MAP,,"Carte GPS",
MAP,,"Carte",
INTERNAL_GPS,,"GPS interne",
RAM_AVAILABLE,,"RAM disponible",
CLOCK,,"Horloge",
TRIP,,"Parcours",
RX1_MAP,,"Routage RX1",
RX2_MAP,,"Routage RX2",
RX3_MAP,,"Routage RX3",
BATTERY_1_VOLTAGE,,"Tension Bat1",
BATTERY_1_CURRENT,,"Intensité Bat1",
BATTERY_2_VOLTAGE,,"Tension Bat2",
BATTERY_2_CURRENT,,"Intensité Bat2",
RBOX_STATE_1,,"Statut1 RBOX",
RBOX_STATE_2,,"Statut2 RBOX",
BATTERY_1_CONSUMPTION,,"Conso. Bat1",
BATTERY_2_CONSUMPTION,,"Conso. Bat2",
BATTERY_1_TEMPERATURE,,"Temp. Bat1",
BATTERY_2_TEMPERATURE,,"Temp. Bat2",
RB_OUTPUT_STATE,,"Etat sortie",
RB_CH1_A,,"Intensité V1",
RB_CH2_A,,"Intensité V2",
RB_CH3_A,,"Intensité V3",
RB_CH4_A,,"Intensité V4",
RB_CH5_A,,"Intensité V5",
RB_CH6_A,,"Intensité V6",
RB_CH7_A,,"Intensité V7",
RB_CH8_A,,"Intensité V8",
RB_CH9_A,,"Intensité V9",
RB_OUTPUT_1_VOLTAGE,,"Tension Sortie1",
RB_OUTPUT_2_VOLTAGE,,"Tension Sortie2",
RPM,,"Tr/M",
POLES_COUNT,,"Nb. poles",
OVER_SPEED_ALARM,,"Alerte vitesse",
OVER_TEMP1_ALARM,,"Alerte temp. 1",
OVER_TEMP2_ALARM,,"Alerte temp. 2",
TEMPERATURE_UNIT,,"Unité température",
AUTO_SAVE,,"Sauv. auto",
WING_RUD_ELE_AIL,,"Dir - Prf - Ail.",
WING_FLYING,,"Delta / Aile volante",
WING_VTAIL_AIL,,"Empennage V - Ail.",
LEVEL,,"Horizontal",
LEVEL_REVERSED,,"Inversé",
UPRIGHT,,"Vertical",
UPRIGHT_REVERSED,,"Vertical inversé",
WING_TYPE,,"Type d'aile",
CALIBRATION_FINISH,,"Calibration terminé !",
SXR_CALIBRATION,,"Calibration SxR",
CLICK_WHEN_DONE,,"Valider",
CALIBRATING,,"Calibration en cours ...",
SXR_CALIBRATION_DESCRIPTION,,"Calibration récepteur SxR",
MOUNTING_TYPE,,"Position montage",
SXR_ENABLE,,"SXR actif",
AIL_INVERTED,,"Ail Inversé",
AIL2_INVERTED,,"Ail2 Inversé",
ELE_INVERTED,,"Prf Inversé",
ELE2_INVERTED,,"Prf2 Inversé",
RUD_INVERTED,,"Dir Inversé",
AUX1_ENABLE,,"AUX1 actif",
AUX2_ENABLE,,"AUX2 actif",
QUICK_MODE,,"Mode rapide",
SELF_CHECK,,"Auto test",
STAB_GAIN_OF_AIL,,"Stabilisation - Gain Ail.",
STAB_GAIN_OF_ELE,,"Stabilisation - Gain Prf.",
STAB_GAIN_OF_RUD,,"Stabilisation - Gain Dir.",
AUTO_LEVEL_GAIN_OF_AIL,,"Mise à plat - Gain Ail.",
AUTO_LEVEL_GAIN_OF_ELE,,"Mise à plat - Gain Prf.",
HOVER_GAIN_OF_ELE,,"Torque - Gain Prf.",
HOVER_GAIN_OF_RUD,,"Torque - Gain Dir.",
KNIFE_EDGE_GAIN_OF_AIL,,"Tranche - Gain Ail.",
KNIFE_EDGE_GAIN_OF_RUD,,"Tranche - Gain Dir.",
AUTO_LEVEL_OFFSET_OF_AIL,,"Mise à plat - Décalage Ail.",
AUTO_LEVEL_OFFSET_OF_ELE,,"Mise à plat - Décalage Prf.",
HOVER_OFFSET_ANGLE_OF_ELE,,"Torque - Décalage Prf.",
HOVER_OFFSET_ANGLE_OF_RUD,,"Torque - Décalage Dir.",
KNIFE_EDGE_OFFSET_OF_AIL,,"Tranche - Décalage Ail.",
KNIFE_EDGE_OFFSET_OF_RUD,,"Tranche - Décalage Dir.",
PLACE_RECEIVER_LEVEL,,"Placer récepteur à l'horizontale",
PLACE_RECEIVER_LEVEL_REVERSE,,"Placer récepteur à l'envers",
PLACE_RECEIVER_LEFT,,"Placer récepteur sur la gauche",
PLACE_RECEIVER_RIGHT,,"Placer récepteur sur la droite",
PLACE_RECEIVER_FORWARD,,"Placer récepteur sur l'avant",
PLACE_RECEIVER_BACKWARD,,"Placer récepteur sur l'arrière",
ALTITUDE_DATA_RATE,,"Fréq. données Alti.",
VARIO_DATA_RATE,,"Fréq. données Vario",
BAND,,"Bande",
ALL_FREQUENCY,,"Toutes fréquences",
SAVE_TO_FLASH,,"Sauvegarder en flash",
FLASHING,,"Flash en cours ...",
SAVE_TO_FLASH_MESSAGE,,"Paramètres sauvegardés en mémoire flash !",
DIRECTION,,"Direction",
CLOCKWISE,,"Sens horaire",
ANTICLOCKWISE,,"Sens anti-horaire",
PWM_PULSE_TYPE,,"Type de PWM",
BASIC_CONFIG,,"Config. de base",
CONFIGURE_SCREENS,,"Configurer écrans",
TOP_SCREEN,,"Ecran sup.",
CHANGE_LAYOUT,,"Changer disposition",
FULL_SCREEN,,"Plein écran",
WIDGET,,"Widget",
SET_MAIN_SCREEN,,"Ecran principal",
CONFIGURE_WIDGET,,"Configurer widget",
NEW_SCREEN,,"Nouvel écran",
SCREEN,,"Ecran",
CHANGE_WIDGET,,"Changer widget","Changer",
MOVE_FORWARD,,"← Avancer",
MOVE_BACKWARD,,"→ Reculer",
RESET_FLIGHT,,"Réinitialiser vol","Réinit. vol",
RESET_TIMERS,,"Réinitialiser chronos","Réinit. chronos",
RESET_TELEMETRY,,"Réinitialiser télémétrie","Réinit. télémétrie",
HOME,,"Principal",
LOCAL_ADDRESS,,"Adresse locale",
WAITING_FOR_DEVICES,,"En attente périphériques ...",
LOCAL_NAME,,"Nom local",
SEARCH_DEVICES,,"Chercher ...",
BLUETOOTH_DEVICE_CONNECTED,,"Périphérique bluetooth connecté",
NOT_CONNECTED,,"Non connecté",
CONFIRM_ALLOW_CONNECTION,,"Autoriser connexion ?"
BLUETOOTH_FIRMWARE_NEEDS_UPDATE,,"Mettre à jour le firmware Bluetooth !",
BLUETOOTH_MAINTENANCE,,"Maintenance Bluetooth",
DEVICE,,"Périphérique",
NO_BLUETOOTH_DEVICE_FOUND,,"Aucun périphérique bluetooth détecté !",
SPEAKER_MUTE,,"Couper haut-parleur",
DISCONNECT,,"Déconnecter",
WAITING_FOR_DEVICE,,"Connexion en cours ...",
DIST_ADDRESS,,"Adresse distante",
CONNECTING,,"Connexion en cours",
ROTARY_ENCODER_HALF_STEPS,,"Réduction sensibilité codeur rotatif",
BLUETOOTH_AUDIO,,"Audio Bluetooth",
NOT_INSTALLED,,"Non installé (défaut)",
INSTALLED_AS_AN_OPTION,,"Installé comme option",
HIGH_SPEED,,"Vitesse rapide",
NORMAL_SPEED,,"Vitesse normale",
CHECKLIST_WARNING,,"Alerte checklist",
RADIO_IS_IN_SILENT_MODE,,"Radio en mode silencieux",
RADIO_BATTERY_IS_LOW,,"Tension batterie TX faible",
THROTTLE_IS_NOT_IDLE,,"Mettre gaz au ralenti",
ARE_NOT_IN_SAFE_POSITION,," sont sur une mauvaise position",
IS_NOT_IN_SAFE_POSITION,," est sur une mauvaise position",
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,,"Vérifier position inters de fonction !",
FAILSAFE_IS_NOT_SET,,"Failsafe non défini",
RTC_BATTERY_IS_LOW,,"Tension batterie RTC faible",
SYSTEM,,"Système",
FILE_MANAGER,,"Fichiers",
ALERTS,,"Alertes",
DATE_TIME,,"Date / Heure",
BATTERY,,"Batterie",
HARDWARE,,"Matériel",
STICKS,,"Manches",
SPECTRUM_ANALYSER,,"Analyseur spectre",
INFO,,"Info",
SERIAL_NUMBER,,"Numéro série",
RESET_FACTORY_SETTINGS,,"Réinit. paramètres usine",
CONFIRM_RESET_FACTORY_SETTINGS,,"Réiniitaliser ?",
GENERAL,,"Général",
NO_SD_CARD,,"Carte SD absente",
FLASH_BOOTLOADER,,"Mise à jour bootloader",
FLASH_INTERNAL_MODULE,,"Mise à jour module RF",
PLAY,,"Lire",
CURRENT_VERSION,,"Version actuelle",
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,,"Mise à jour RX avec int. OTA",
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,,"Mise à jour RX avec ext. OTA",
OTA_UPDATE,,"Mise à jour OTA",
FLASH_EXTERNAL_DEVICE,,"Mise à jour périphérique externe",
OPEN,,"Ouvrir",
FLASH_EXTERNAL_MODULE,,"Mise à jour module externe",
FLASH_EXTERNAL_MULTIMODULE,,"Mise à jour multimodule externe",
MOVE_HERE,,"Déplacer ici",
OTA_UPDATE_ERROR,,"Erreur mise à jour OTA",
UNSUPPORTED_RX,,"RX non supporté",
SOUND,,"Audio",
DISPLAY,,"Affichage",
KEYBOARD,,"Clavier",
ENABLE_SLIDER,,"Activer curseur",
DISABLE_SLIDER,,"Désactiver curseur",
ALWAYS_ON,,"Toujours ON",
ALWAYS_OFF,,"Toujours OFF"
YES,,"Oui",
DIGITAL_RSSI,,"RSSI numérique",
GYRO,,"Gyro",
GYRO_SWITCHES,,"Inters Gyro",
LANGUAGE,,"Langue",
THEME,,"Thème",
LIGHT,,"Light"
DARK,,"Dark"
SWITCHES,,"Inters",
TOP_TOOLBAR,,"Barre infos sup.",
NO,,"Non",
BRIGHTNESS,,"Luminosité",
SLEEP_BRIGHTNESS,,"Luminosité veille",
TOP_LCD_SLEEP,,"Veille LCD sup.",
KEYS,,"Touches",
WAKE_UP,,"Activation",
DIGITAL_VOLTAGE,,"Affichage numérique",
SLEEP,,"Mise en veille",
BACKLIGHT,,"Rétro-éclairage",
HIGHLIGHT_COLOR,,"Couleur surbrillance",
VARIO,,"Vario",
MAIN_VOLUME,,"Volume principal",
STRENGTH,,"Intensité",
SILENT,,"Silencieux",
ALARMS_ONLY,,"Alarmes",
OFTEN,,"Fréquent",
ALWAYS,,"Toujours",
NEVER,,"Jamais",
WHEN_TELEMETRY_STREAMING,,"Pendant flux télémétrie",
VOICE1,,"Voix 1 (Principale)","Voix 1 (Princ.)"
VOICE2,,"Voix 2",
VOICE3,,"Voix 3",
